"movie_id","actor"
61,"徐敏"
61,"严翔"
61,"史久峰"
61,"吴喜千"
61,"张嬿"
61,"祁明远"
61,"牛犇"
61,"沈耀庭"
61,"陈烨"
61,"李玲君"
61,"戴兆安"
61,"徐阜"
61,"李兰发"
61,"杨凯旋"
61,"李再扬"
62,"Marsha Wattanapanich"
62,"彼得·奈特"
62,"Paramej Noiam"
62,"Paramej Noiam"
62,"乔纳森·萨姆森"
62,"Jonathan Samson"
62,"Sisangian Sihalath"
62,"Namo Tongkumnerd"
62,"Patcharee Tubthong"
63,"查德维克·博斯曼"
63,"哈里森·福特"
63,"妮可·贝哈瑞"
63,"克里斯托弗·米洛尼"
64,"汤姆·哈迪"
64,"加里·奥德曼"
64,"劳米·拉佩斯"
64,"乔尔·金纳曼"
64,"帕迪·康斯戴恩"
64,"杰森·克拉克"
64,"文森特·卡索"
64,"泽维尔·阿特金斯"
64,"马克·路易斯·琼斯"
64,"法瑞斯·法瑞斯"
64,"卡雷尔·多布雷"
64,"阿格涅兹卡·格罗乔斯卡"
64,"Petr Vanek"
64,"尤拉西纳·拉尔迪"
64,"迈克尔·纳尔多内"
64,"洛蒂·斯蒂尔"
65,"夏洛特·兰普林"
65,"汤姆·康特奈"
65,"杰拉丁妮·詹姆斯"
65,"多莉·韦尔斯"
65,"大卫·西布利"
65,"山姆·亚历山大"
65,"理查德·坎宁汉姆"
65,"汉娜·查尔莫斯"
65,"卡米尔·乌坎"
65,"鲁弗斯·赖特"
66,"松田龙平"
66,"安藤政信"
66,"石桥凌"
66,"洼冢俊介"
66,"远藤宪一"
66,"石桥莲司"
67,"罗伯特·杜瓦尔"
67,"唐纳德·普利森斯"
67,"唐佩德罗·科利"
68,"道恩·强森"
68,"杰西卡·贝尔"
68,"贾斯汀·朗"
68,"加里·奥德曼"
68,"西恩·威廉·斯科特"
68,"约翰·克立斯"
68,"Freddie Benedict"
68,"Alan Marriott"
68,"马修·豪勒"
68,"詹姆斯·柯登"
69,"庄鹃瑛"
69,"林忠谕"
69,"姜圣民"
69,"陈玫希"
69,"张榕容"
69,"李千那"
69,"赵咏华"
69,"林庆台"
69,"郑暐达"
69,"孙睿"
69,"马如龙"
69,"沛小岚"
69,"范逸臣"
69,"马念先"
69,"应蔚民"
69,"民雄"
69,"田中千绘"
69,"林晓培"
69,"安乙荞"
70,"海伦娜·伯翰·卡特"
70,"希拉里·斯万克"
70,"杰弗里·塔伯"
70,"约翰·海尔登贝格"
70,"蒂姆· 普莱斯特"
70,"迈克尔·卡尔金"
70,"乔纳森·克里根"
70,"理查德·莱恩"
70,"理查德·瑞德尔"
71,"孔晓振"
71,"河正宇"
72,"张学友"
72,"曾志伟"
72,"袁咏仪"
72,"黄宗泽"
72,"邓丽欣"
72,"钟嘉欣"
72,"王祖蓝"
72,"梁天"
72,"刘美君"
72,"徐子珊"
72,"佘诗曼"
72,"林家栋"
72,"许志安"
72,"陈慧琳"
72,"张卫健"
72,"林峯"
72,"廖碧儿"
72,"郑欣宜"
72,"黎耀祥"
72,"谢天华"
72,"陈百祥"
72,"薛家燕"
72,"侧田"
72,"邵音音"
72,"刘以达"
72,"陈法拉"
73,"瑞恩·柯万腾"
73,"艾米·斯马特"
73,"莱丝莉·比伯"
73,"杰米·钟"
73,"妮基·韦兰"
73,"杰瑞·费拉拉"
73,"克里斯蒂·瑟拉图斯"
73,"阿里克斯·弗罗斯特"
73,"乔纳森·斯卡奇"
74,"申河均"
74,"都暻秀"
74,"金东英"
74,"金正洙"
74,"金钟求"
74,"朴修荣"
74,"全锡浩"
74,"郑熙泰"
74,"金度允"
74,"黄贞敏"
74,"郑胜吉"
74,"金智英"
74,"金泰汉"
74,"禹志贤"
75,"柳承龙"
75,"朴信惠"
75,"郑镇荣"
75,"金正泰"
76,"刘冬"
76,"黄宥明"
76,"伊娜"
76,"陶灏景"
76,"铁政"
76,"武文佳"
76,"史可"
76,"赵越"
76,"张立"
76,"周韦彤"
77,"阿尔·帕西诺"
77,"特里尔比·格洛弗"
77,"艾丽西亚·维特"
77,"莉莉·索博斯基"
77,"艾米·布伦尼曼"
77,"威廉·弗西斯"
77,"黛博拉·卡拉·安格"
77,"本·麦肯锡"
77,"尼尔·麦克唐纳"
77,"莱雅·卡里恩斯"
77,"史蒂芬·莫耶"
77,"克里斯托弗·雷德曼"
77,"布莱登·佛雷切"
77,"迈克尔·艾克朗德"
77,"凯利·格泽尔"
77,"克里斯蒂娜·科普兰"
77,"Tammy Hui"
77,"Vicky Huang"
77,"维多利亚·坦南特"
77,"米哈尔·雅尼"
77,"保罗·坎贝尔"
78,"埃米纳姆"
