"movie_id","genre"
428,"动作"
428,"科幻"
429,"科幻"
429,"悬疑"
429,"犯罪"
430,"剧情"
430,"喜剧"
430,"爱情"
431,"科幻"
431,"灾难"
432,"剧情"
432,"历史"
433,"剧情"
433,"传记"
433,"历史"
433,"灾难"
434,"剧情"
434,"惊悚"
434,"传记"
435,"剧情"
435,"传记"
436,"喜剧"
436,"犯罪"
437,"剧情"
437,"惊悚"
437,"冒险"
438,"动作"
438,"动画"
438,"冒险"
439,"喜剧"
439,"动画"
439,"家庭"
439,"冒险"
440,"喜剧"
440,"动画"
440,"家庭"
440,"冒险"
441,"动画"
442,"喜剧"
442,"动作"
442,"惊悚"
442,"冒险"
443,"喜剧"
443,"动画"
443,"家庭"
443,"冒险"
444,"剧情"
444,"冒险"
445,"动画"
445,"悬疑"
446,"动画"
446,"悬疑"
447,"剧情"
447,"家庭"
448,"剧情"
448,"历史"
448,"战争"
448,"犯罪"
449,"剧情"
449,"家庭"
450,"爱情"
450,"奇幻"
451,"爱情"
451,"悬疑"
452,"剧情"
452,"喜剧"
452,"动作"
452,"爱情"
453,"剧情"
453,"喜剧"
453,"动画"
454,"喜剧"
454,"动作"
454,"歌舞"
455,"动作"
455,"科幻"
455,"恐怖"
456,"剧情"
456,"家庭"
457,"动画"
458,"剧情"
458,"恐怖"
458,"奇幻"
459,"剧情"
459,"喜剧"
459,"奇幻"
460,"剧情"
460,"喜剧"
460,"悬疑"
461,"喜剧"
461,"动作"
462,"喜剧"
462,"动作"
462,"爱情"
462,"音乐"
462,"奇幻"
463,"动作"
463,"奇幻"
463,"武侠"
464,"动作"
464,"爱情"
464,"武侠"
464,"古装"
465,"剧情"
465,"悬疑"
465,"犯罪"
466,"剧情"
466,"同性"
467,"剧情"
467,"悬疑"
467,"惊悚"
467,"犯罪"
468,"剧情"
468,"动作"
468,"战争"
469,"惊悚"
469,"恐怖"
470,"剧情"
470,"动作"
470,"爱情"
470,"武侠"
470,"古装"
471,"剧情"
471,"动作"
471,"爱情"
472,"剧情"
473,"剧情"
473,"惊悚"
473,"传记"
474,"爱情"
475,"剧情"
475,"犯罪"
476,"剧情"
476,"爱情"
477,"喜剧"
477,"爱情"
477,"同性"
478,"剧情"
478,"爱情"
479,"恐怖"
480,"剧情"
480,"喜剧"
480,"爱情"
481,"剧情"
481,"喜剧"
481,"犯罪"
482,"剧情"
482,"爱情"
482,"奇幻"
483,"喜剧"
483,"奇幻"
484,"剧情"
484,"喜剧"
484,"战争"
485,"喜剧"
485,"爱情"
485,"犯罪"
486,"剧情"
487,"剧情"
487,"惊悚"
487,"恐怖"
488,"喜剧"
488,"恐怖"
488,"冒险"
489,"科幻"
489,"恐怖"
490,"恐怖"
491,"恐怖"
492,"喜剧"
492,"恐怖"
493,"喜剧"
493,"爱情"
493,"动画"
494,"剧情"
494,"动作"
494,"武侠"
494,"古装"
495,"剧情"
495,"动作"
495,"冒险"
496,"喜剧"
496,"动作"
497,"动作"
498,"剧情"
499,"剧情"
500,"剧情"
500,"动作"
500,"战争"
501,"剧情"
501,"传记"
501,"古装"
502,"剧情"
502,"喜剧"
502,"爱情"
503,"剧情"
503,"动作"
503,"战争"
504,"动作"
504,"科幻"
505,"剧情"
505,"喜剧"
505,"奇幻"
505,"冒险"
506,"喜剧"
506,"动作"
506,"爱情"
506,"犯罪"
507,"剧情"
507,"动作"
507,"爱情"
507,"奇幻"
507,"冒险"
508,"剧情"
508,"歌舞"
509,"剧情"
509,"音乐"
510,"喜剧"
510,"悬疑"
511,"剧情"
511,"爱情"
511,"悬疑"
511,"惊悚"
512,"剧情"
512,"爱情"
512,"悬疑"
512,"惊悚"
513,"剧情"
513,"动作"
513,"历史"
513,"战争"
514,"惊悚"
514,"恐怖"
515,"剧情"
515,"喜剧"
515,"犯罪"
516,"剧情"
516,"悬疑"
517,"喜剧"
517,"爱情"
518,"喜剧"
518,"爱情"
519,"喜剧"
519,"动作"
519,"冒险"
520,"剧情"
520,"喜剧"
521,"喜剧"
521,"恐怖"
522,"剧情"
522,"传记"
522,"历史"
523,"剧情"
523,"喜剧"
523,"音乐"
524,"剧情"
524,"爱情"
524,"同性"
524,"传记"
525,"剧情"
525,"爱情"
525,"惊悚"
525,"犯罪"
526,"动作"
526,"惊悚"
526,"犯罪"
527,"喜剧"
527,"爱情"
528,"剧情"
528,"喜剧"
528,"爱情"
529,"剧情"
529,"爱情"
529,"同性"
530,"剧情"
530,"传记"
530,"历史"
531,"剧情"
531,"喜剧"
531,"传记"
531,"运动"
532,"剧情"
532,"爱情"
532,"惊悚"
532,"歌舞"
533,"剧情"
533,"惊悚"
533,"犯罪"
534,"剧情"
534,"喜剧"
535,"剧情"
535,"传记"
535,"犯罪"
536,"传记"
537,"剧情"
537,"惊悚"
538,"动作"
538,"爱情"
538,"传记"
